
# Surface 0 of 1 surfaces

# Curve title: "'$cloud'"

# IsoCurve 0, 50 points
# x y z type
 560.755  991.306  16.1851 i
 560.755  1023.04  15.0056 i
 560.755  1054.78  14.411 i
 560.755  1086.51  13.9904 i
 560.755  1118.24  13.8294 i
 560.755  1149.98  13.3966 i
 560.755  1181.71  12.1998 i
 560.755  1213.45  12.7983 i
 560.755  1245.18  12.9727 i
 560.755  1276.92  12.9486 i
 560.755  1308.65  12.8296 i
 560.755  1340.39  12.7673 i
 560.755  1372.12  11.5952 i
 560.755  1403.86  14.7948 i
 560.755  1435.59  15.7439 i
 560.755  1467.33  16.3887 i
 560.755  1499.06  16.7418 i
 560.755  1530.8  18.8143 i
 560.755  1562.53  16.573 i
 560.755  1594.27  16.1557 i
 560.755  1626  16.1632 i

# IsoCurve 7, 50 points
# x y z type
 547.714  71  14.1619 i
 547.714  102.735  14.1642 i
 547.714  134.469  14.1677 i
 547.714  166.204  14.1721 i
 547.714  197.939  14.1771 i
 547.714  229.673  14.1826 i
 547.714  261.408  14.1888 i
 547.714  293.143  14.1959 i
 547.714  324.878  14.2042 i
 547.714  356.612  14.214 i
 547.714  388.347  14.2256 i
 547.714  420.082  14.2395 i
 547.714  451.816  14.256 i
 547.714  483.551  14.2756 i
 547.714  515.286  14.299 i
 547.714  547.02  14.3269 i
 547.714  578.755  14.3602 i
 547.714  610.49  14.4001 i
 547.714  642.224  14.448 i
 547.714  673.959  14.5058 i
 547.714  705.694  14.5762 i
 547.714  737.429  14.663 i
 547.714  769.163  14.7718 i
 547.714  800.898  14.9123 i
 547.714  832.633  15.1014 i
 547.714  864.367  15.3736 i
 547.714  896.102  15.8098 i
 547.714  927.837  16.6589 i
 547.714  959.571  19.4037 i
 547.714  991.306  15.93 i
 547.714  1023.04  14.8369 i
 547.714  1054.78  14.2062 i
 547.714  1086.51  13.7805 i
 547.714  1118.24  13.9032 i
 547.714  1149.98  12.2836 i
 547.714  1181.71  12.853 i
 547.714  1213.45  12.8655 i
 547.714  1245.18  12.8017 i
 547.714  1276.92  12.6861 i
 547.714  1308.65  12.3838 i
 547.714  1340.39  12.4337 i
 547.714  1372.12  13.6762 i
 547.714  1403.86  15.9886 i
 547.714  1435.59  16.4286 i
 547.714  1467.33  17.3635 i
 547.714  1499.06  18.0016 i
 547.714  1530.8  19.3231 i
 547.714  1562.53  16.6703 i
 547.714  1594.27  16.2416 i
 547.714  1626  16.2713 i

# IsoCurve 8, 50 points
# x y z type
 534.673  71  14.1549 i
